run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
3	189	Hand1	0.015957446808510637	0.0007964501080896575	0.015957446808510637	0.0008533394015246331	1	45	87.0	70.0	22.0	22.0
3	189	Elf3	0.005319148936170213	0.001848902036636705	0.005319148936170213	0.0050631471157128235	1	45	62.0	117.0	16.0	37.0
3	189	Tcf15	0.015957446808510637	0.0	0.015957446808510637	0.0	5	6	189.0	70.0	6.0	1.0
3	167	Sox1	0.024096385542168676	0.0	0.024096385542168676	0.00982110259218693	1	31	44.0	38.0	31.0	8.0
3	167	Zic5	0.05421686746987952	0.0014603870025556773	0.0963855421686747	0.059802847754654984	4	19	11.0	2.0	2.0	1.0
3	167	Ascl2	0.042168674698795185	0.0035779481562614093	0.042168674698795185	0.03132530120481928	0	38	18.0	10.0	8.0	3.0
3	167	Hand1	0.01807228915662651	0.0	0.01807228915662651	0.0	0	38	167.0	56.0	38.0	19.0
3	167	Elf3	0.006024096385542169	0.0023731288791529756	0.006024096385542169	0.0057320189850310335	0	38	54.0	105.0	13.0	31.0
3	167	Tcf15	0.01807228915662651	0.0	0.01807228915662651	0.0	6	6	167.0	56.0	6.0	1.0
3	145	Sox1	0.027777777777777776	0.0	0.027777777777777776	0.0	1	34	145.0	27.0	34.0	7.0
3	145	Zic5	0.048611111111111105	0.009421134421134422	0.08333333333333333	0.04453185703185703	1	34	10.0	2.0	2.0	3.0
3	145	Ascl2	0.041666666666666664	0.006944444444444444	0.041666666666666664	0.03753885003885004	0	34	13.0	10.0	5.0	4.0
3	145	Hand1	0.006944444444444444	0.0	0.006944444444444444	0.0	0	34	145.0	93.0	34.0	27.0
3	145	Elf3	0.0	0.0	0.0	0.0	0	34	145.0	145.0	34.0	34.0
3	145	Tcf15	0.013888888888888888	0.0	0.013888888888888888	0.0	7	5	145.0	60.0	5.0	2.0
3	108	Sox1	0.02803738317757009	0.0	0.02803738317757009	0.0	0	28	108.0	29.0	28.0	8.0
3	108	Zic5	0.05607476635514018	0.011814494798095574	0.08411214953271028	0.06074766355140187	0	28	1.0	4.0	2.0	3.0
3	108	Ascl2	0.05607476635514018	0.004408393581378945	0.05607476635514018	0.00802327631810968	1	26	27.0	8.0	7.0	2.0
3	108	Hand1	0.009345794392523364	0.0012343502027861047	0.009345794392523364	0.001851525304179157	1	26	44.0	69.0	11.0	19.0
3	108	Elf3	0.0	0.0	0.0	0.0	1	26	108.0	108.0	26.0	26.0
3	66	Sox1	0.03076923076923077	0.0	0.03076923076923077	0.0	4	8	66.0	22.0	8.0	2.0
3	66	Zic5	0.06153846153846154	0.007932692307692307	0.13846153846153847	0.1545673076923077	0	12	1.0	3.0	1.0	1.0
4	348	Zic5	0.12103746397694523	0.0018906898102646966	0.20172910662824206	0.0078292882010961	2	79	60.0	5.0	7.0	2.0
4	348	Ascl2	0.0893371757925072	0.0033982442404757542	0.0893371757925072	0.010269693991437756	1	86	47.0	50.0	1.0	7.0
4	348	Elf3	0.09221902017291066	0.0018240575702553681	0.09510086455331411	0.006546617580916527	1	86	69.0	41.0	9.0	4.0
4	348	Sox1	0.06340057636887608	0.0013076577101830721	0.07204610951008646	0.002198863920307841	2	79	123.0	69.0	12.0	12.0
4	348	Hand1	0.08357348703170028	0.00156585764021922	0.10086455331412103	0.010719461611500725	1	86	45.0	37.0	14.0	14.0
4	348	Tcf15	0.05763688760806916	0.001399277040195899	0.09221902017291066	0.012618480451766587	0	107	32.0	45.0	22.0	13.0
4	343	Zic5	0.11403508771929824	0.001997907770403526	0.18128654970760233	0.008934849342319631	2	70	49.0	2.0	6.0	2.0
4	343	Ascl2	0.06140350877192982	0.0008917699919397713	0.06140350877192982	0.0019293100787158514	1	79	124.0	61.0	25.0	19.0
4	343	Elf3	0.07309941520467836	0.0015777469088165184	0.07602339181286549	0.010555469808440946	1	79	42.0	47.0	10.0	11.0
4	343	Sox1	0.049707602339181284	0.001286206719143901	0.05847953216374269	0.004295930441940629	2	70	88.0	68.0	9.0	13.0
4	343	Hand1	0.07309941520467836	0.002803930647733704	0.0847953216374269	0.02193411191713399	1	79	12.0	35.0	3.0	11.0
4	343	Tcf15	0.02631578947368421	0.0006002298022671537	0.06140350877192982	0.007031263397986658	3	62	61.0	61.0	19.0	10.0
4	332	Zic5	0.09365558912386707	0.0017669138515059965	0.1540785498489426	0.011983887210473313	2	69	42.0	1.0	10.0	2.0
4	332	Ascl2	0.060422960725075525	0.0011993042204522567	0.060422960725075525	0.0033507278220269157	1	76	95.0	44.0	19.0	9.0
4	332	Elf3	0.05740181268882175	0.0010070493454179255	0.060422960725075525	0.010079648448228508	1	76	51.0	44.0	24.0	12.0
4	332	Sox1	0.03323262839879154	0.0007415545179895633	0.045317220543806644	0.0037077725899478165	2	69	90.0	70.0	17.0	17.0
4	332	Hand1	0.05740181268882175	0.0028746681314657145	0.06948640483383686	0.016039549574292777	1	76	29.0	35.0	3.0	12.0
4	332	Tcf15	0.030211480362537763	0.0016387439348164424	0.04833836858006042	0.006976105465531447	0	90	65.0	66.0	14.0	14.0
4	321	Zic5	0.084375	0.001743730407523511	0.140625	0.014322100313479625	2	68	38.0	1.0	10.0	2.0
4	321	Ascl2	0.053125000000000006	0.0014890282131661443	0.053125000000000006	0.0033209247648902825	1	78	97.0	38.0	21.0	8.0
4	321	Elf3	0.05	0.0010481974921630094	0.05	0.011530172413793104	1	78	45.0	42.0	26.0	12.0
4	321	Sox1	0.028125	0.0007739028213166145	0.043750000000000004	0.007210031347962383	2	68	70.0	56.0	14.0	16.0
4	321	Hand1	0.05	0.004663009404388715	0.05625	0.01626175548589342	1	78	35.0	36.0	2.0	12.0
4	321	Tcf15	0.025	0.0035756269592476493	0.037500000000000006	0.02342280564263323	0	92	15.0	68.0	5.0	15.0
4	296	Zic5	0.0576271186440678	0.0018793958261270611	0.1152542372881356	0.013836042891732965	3	45	42.0	2.0	4.0	4.0
4	296	Ascl2	0.04745762711864407	0.001533494753833737	0.04745762711864407	0.0031938199008416926	1	70	97.0	34.0	19.0	8.0
4	296	Elf3	0.04406779661016949	0.0025711979707137094	0.04406779661016949	0.018044505937968407	1	70	35.0	44.0	9.0	12.0
4	296	Sox1	0.02711864406779661	0.0002536607863484377	0.04406779661016949	0.012867519889311658	3	45	47.0	44.0	16.0	12.0
4	296	Hand1	0.04067796610169491	0.005038625619739422	0.04406779661016949	0.01290210999654099	1	70	46.0	44.0	2.0	15.0
4	296	Tcf15	0.01694915254237288	0.0015450247895768478	0.023728813559322035	0.018459587224720398	0	84	32.0	79.0	19.0	19.0
4	267	Zic5	0.05263157894736842	0.0014186409419775854	0.11654135338345864	0.014796425024826216	4	32	44.0	1.0	3.0	2.0
4	267	Ascl2	0.03759398496240601	0.0014328273513973613	0.03759398496240601	0.0023833167825223433	0	61	101.0	44.0	18.0	13.0
4	267	Elf3	0.04887218045112782	0.003333806213647326	0.04887218045112782	0.030585898709036743	0	61	26.0	23.0	4.0	6.0
