geneid	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
H2afv	125.431970431103	184.254576971432	486.86927746583	519.695027079807	96.6925571691715	98.1967103538762	465.430273875039	578.899420795895	81.6489987305525	56.6577588079208	328.566697060186	304.227161010673	170.123921716368	291.349691983297	610.648435474683	539.367142552738	158.371207377888	137.756878547451	650.171988711173	743.205363107372	120.65208692005	61.9180353518613	569.516542481987	554.074109356246
Chd7	715.037340421617	684.374143036748	708.275321589479	697.641524499583	418.516406594384	444.04439768053	552.380933771929	559.602773436032	284.216276533495	235.624330280559	422.254389796223	408.001440422477	804.513560232621	560.089097449043	717.543584319448	798.294104148568	537.725494817947	643.14714462951	545.645813534893	699.70851743418	436.57401027679	499.051949602427	739.43170895186	654.925317857493
Dmxl2	81.8687711197019	49.6131371758575	25.5755717073692	28.2889303590413	101.781639125444	99.6987632847194	25.0105268916898	29.4527775492648	92.1467271387664	73.2953546483419	19.7931745216979	23.0609509804009	135.606024556525	93.0251788150659	49.8844027942234	48.1486338081267	118.724243013793	127.615267856841	27.8097163313039	28.4608990207303	137.200378143498	100.477769942242	44.7343026768029	29.0402877491541
Cldn5	21.0305100124005	10.8478885143354	27.8157677693285	23.4980631208165	2.66570959614257	0.187756616355404	20.3210530994979	33.5152296250255	2.13842615722876	0.899329504887631	15.8345396173584	29.2696685520472	0.0	0.0	0.6334527338949	0.512219508597092	0.0	0.0	0.0	0.53699809473076	0.0	0.0	3.19530733405735	2.67316456268364
BC055324	27.0392271588006	30.7888600480402	39.2034310842885	52.9276761556256	5.08908195627218	4.13064555981888	67.0203962800749	91.405171704615	7.19288798340581	5.39597702932579	71.2554282781126	77.1654898190336	15.0399409053601	48.4506139661802	58.119288334857	72.22295071219	9.74925353215455	10.9867449148274	94.936617820658	73.0317408833833	9.92897473406896	5.93226686005857	49.6212433053612	59.5386652597721
Ccnb1	28.5414064454007	23.7696380681761	137.958740815663	118.630998279851	2.66570959614257	1.68980954719863	103.950002393586	107.654980007658	5.24886420410694	1.79865900977526	145.149946492452	120.626512820558	15.0399409053601	29.0703683797081	118.297298054873	97.5778163877461	0.64995023547697	4.22567112108745	128.500068565335	143.378491293113	0.601756044489028	2.22460007252196	99.0545273557779	95.8694018162452
Piezo2	7.51089643300018	14.995610593346	9.14746725300065	6.6159595194532	0.242337236012961	0.563269849066211	3.32171060280255	3.0468390568205	0.777609511719547	0.899329504887631	2.63908993622639	0.88695965309234	252.473762083421	79.4590069045355	26.1299252731646	21.2571096067793	107.2417888537	97.1904357850114	6.71269014893541	7.51797332623064	2.1061461557116	9.63993364759517	6.0146961582256	10.3281358103686
Kif14	17.2750617959004	22.1743603454797	68.1392968845967	65.7033221242249	0.969348944051845	5.82045510701752	60.1815803331285	69.0616852879314	1.74962140136898	2.69798851466289	80.4922430549049	94.0177232277881	25.1487536450283	27.7783520072766	96.2848155520248	86.0528774443115	4.98295180532344	2.53540267265247	136.171714449833	122.435565598613	0.300878022244514	1.8538333937683	53.0045098943631	63.3053971435536
Camsap2	292.173871243707	280.449823650024	165.587825579828	120.684227096233	402.279811781516	355.235518144424	130.719081957347	124.920401329641	415.632284014098	491.933239173534	158.345396173584	150.783141025698	310.907630846869	253.235208996568	149.019755648775	119.347145503122	290.311105179713	372.704192879913	110.279909589653	125.120556072267	474.785519101843	557.262318166752	209.386610008229	193.804430794564
Mbp	217.815996557005	147.722717121685	195.457106405953	206.235427778817	40.2279811781516	54.4494187430671	163.740793244031	190.935247560751	51.3222277734901	45.8658047492692	130.634951843206	138.365705882405	77.4187122013616	87.8571133253401	71.5801589301237	61.9785605402482	38.1304138146489	43.101845435092	36.4403179513637	28.4608990207303	37.3088747583197	22.9875340827269	11.4655145516176	39.4899310396447
Kif21b	61.5893507506014	38.2866653447132	14.9346404130623	28.0607938238877	129.408084030921	113.029483045953	41.4236851643612	30.468390568205	247.668629482676	305.772031661795	51.4622537564146	45.2349423077094	102.56746584639	117.573489891264	40.5409749692736	43.7947679850514	138.656050235087	163.956039498193	69.0448129604786	35.9788723469609	278.913926620664	340.36381109586	80.4465611162675	122.722554923204
Zic5	12.0174342928003	21.8553048009404	87.5543294215776	83.4979718662025	6.05843090032403	11.8286668303904	82.651975587381	35.5464556629058	0.58320713378966	2.24832376221908	25.0713543941507	11.5304754902004	8.87603069824528	4.52205730351015	29.930641676534	28.1720729728401	0.866600313969294	2.11283556054373	9.58955735562202	23.0909180734227	0.0	0.37076667875366	11.277555296673	5.95386652597721
