Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000071757,Zhx2,387609
ENSMUSG00000024277,Mapre2,212307
ENSMUSG00000069294,Vmn1r197,171278
ENSMUSG00000031231,Cox7b,66142
ENSMUSG00000022365,Derl1,67819
ENSMUSG00000101933,Gm20835,100861691
ENSMUSG00000101933,Gm20835,108168509
ENSMUSG00000095125,Vmn1r198,171254
ENSMUSG00000118809,Gm25873,115488732
ENSMUSG00000025269,Apex2,77622
ENSMUSG00000069292,Vmn1r199,171247
ENSMUSG00000055370,Gm9968,791329
ENSMUSG00000085499,Gm15713,626693
ENSMUSG00000060992,Copz1,56447
ENSMUSG00000099894,Gm20911,108168582
ENSMUSG00000076372,Mir568,100124467
ENSMUSG00000071552,Tigit,100043314
ENSMUSG00000101073,Vmn1r200,171246
ENSMUSG00000022672,Prkdc,19090
ENSMUSG00000096769,Gm21117,108168594
ENSMUSG00000084924,Vmn1r-ps103,171245
ENSMUSG00000094898,Vmn1r201,171255
ENSMUSG00000094616,Gm20888,108168527
ENSMUSG00000047423,AI837181,107242
ENSMUSG00000065560,Mir148b,724064
ENSMUSG00000094379,Vmn1r202,171258
ENSMUSG00000063234,Gpr84,80910
ENSMUSG00000069289,Vmn1r203,171270
ENSMUSG00000094647,Gm21650,108168524
ENSMUSG00000094647,Gm21650,108168532
ENSMUSG00000094647,Gm21650,108168533
ENSMUSG00000094647,Gm21650,108168595
ENSMUSG00000024912,Fosl1,14283
ENSMUSG00000000552,Zfp385a,29813
ENSMUSG00000094637,Vmn1r204,632793
ENSMUSG00000094821,Gm21518,108168520
ENSMUSG00000094821,Gm21518,108168524
ENSMUSG00000094821,Gm21518,108168532
ENSMUSG00000094821,Gm21518,108168595
ENSMUSG00000100296,Vmn1r205,171251
ENSMUSG00000101578,Vmn1r206,171250
ENSMUSG00000095979,Gm21209,108168515
ENSMUSG00000095979,Gm21209,108168524
ENSMUSG00000095979,Gm21209,108168532
ENSMUSG00000095979,Gm21209,108168595
ENSMUSG00000084136,Vmn1r207,432735
ENSMUSG00000095098,Ccdc85b,240514
ENSMUSG00000071493,Vmn1r208,171252
ENSMUSG00000025083,Afap1l2,226250
ENSMUSG00000022364,Tbc1d31,210544
ENSMUSG00000071491,Vmn1r209,432736
ENSMUSG00000061296,Vmn1r210,171269
ENSMUSG00000096902,Gm20843,108168524
ENSMUSG00000096902,Gm20843,108168530
ENSMUSG00000096902,Gm20843,108168532
ENSMUSG00000096902,Gm20843,108168595
ENSMUSG00000098607,Mir6360,102465185
ENSMUSG00000089290,Gm23207,115488981
ENSMUSG00000021368,Tbc1d7,67046
ENSMUSG00000024276,Zfp397,69256
ENSMUSG00000088538,Gm23276,115485955
ENSMUSG00000079108,Srp54c,100101806
ENSMUSG00000021938,Pspc1,66645
ENSMUSG00000063281,Zfp35,22694
ENSMUSG00000051469,Zfp24,59057
ENSMUSG00000025270,Alas2,11656
ENSMUSG00000099541,Gm21488,108168551
ENSMUSG00000047989,Ino80c,225280
ENSMUSG00000036523,Greb1,268527
ENSMUSG00000100055,Gm20890,108168552
ENSMUSG00000000420,Galnt1,14423
ENSMUSG00000055639,Dach1,13134
ENSMUSG00000063998,Vmn1r211,171277
ENSMUSG00000089615,Gm23774,115485919
ENSMUSG00000064063,BC048507,408058
ENSMUSG00000071490,Vmn1r212,171275
ENSMUSG00000113095,Gm7969,666185
ENSMUSG00000100972,Gm28553,108168590
ENSMUSG00000051335,Gfod1,328232
ENSMUSG00000102019,Gm21873,118568456
ENSMUSG00000000555,Itga5,16402
ENSMUSG00000113050,Gm8016,666272
ENSMUSG00000060024,Vmn1r213,171249
ENSMUSG00000099172,Mir3620,102465782
ENSMUSG00000033792,Atp7a,11977
ENSMUSG00000061829,Vmn1r214,171248
ENSMUSG00000099917,Vmn1r215,171253
ENSMUSG00000116057,Vmn1r216,171279
ENSMUSG00000115791,Vmn1r217,171273
ENSMUSG00000115020,Vmn1r218,171256
ENSMUSG00000061376,Vmn1r219,171272
ENSMUSG00000096099,Vmn1r220,171271
ENSMUSG00000082316,Vmn1r221,100312485
ENSMUSG00000093895,Gm21865,108168511
